Iteration	Posterior	Likelihood	Prior	alpha	beta	clockrate[1]	clockrate[2]	clockrate[3]	clockrate[4]	clockrate[5]	clockrate[6]	clockrate[7]	clockrate[8]	clockrate[9]	clockrate[10]	clockrate[11]	clockrate[12]	clockrate[13]	clockrate[14]	clockrate[15]	clockrate[16]	clockrate[17]	clockrate[18]	clockrate[19]	clockrate[20]	clockrate[21]	clockrate[22]	clockrate[23]	clockrate[24]	clockrate[25]	clockrate[26]	clockrate[27]	clockrate[28]	clockrate[29]	clockrate[30]	clockrate[31]	clockrate[32]	clockrate[33]	clockrate[34]	clockrate[35]	clockrate[36]	clockrate[37]	clockrate[38]	clockrate[39]	clockrate[40]	clockrate[41]	clockrate[42]	clockrate[43]	clockrate[44]	mean_clockrate	origin_time	relvar_clockrate	speciation_clade_1	speciation_clade_10	speciation_clade_11	speciation_clade_14	speciation_clade_15	speciation_clade_16	speciation_clade_19	speciation_clade_2	speciation_clade_3	speciation_clade_6	speciation_clade_7	speciation_clade_8	speciation_clade_9
200	-66676.81	-66617.58	-59.22789	0.689356	23.12529	0.0306789	0.0610146	0.0753964	0.052151	0.0245113	0.00249272	0.0513862	0.15278	0.0232446	0.0340937	0.0238534	0.107271	0.0166204	0.017092	0.0529997	0.0311618	0.00260899	0.0183946	0.014818	0.00461926	0.0034595	0.00335617	0.00409332	0.00271602	0.00264223	0.0646905	0.00694177	0.0132931	0.010572	0.0189415	0.00969698	0.00172653	0.00562761	0.00721862	0.00486451	0.00639489	0.0259361	0.00760271	0.0148821	0.12428	0.024161	0.0156631	0.00530916	0.00256595	0.02980961	414.0211	1.450629	414.0211	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.359	5.179013	3.495676	2.492279	413.4648
210	-63794.34	-63736.33	-58.00962	0.8611722	26.00901	0.0303899	0.0491128	0.08059	0.0565888	0.024696	0.00219072	0.0553844	0.146165	0.0210053	0.0381688	0.0208976	0.111868	0.016337	0.016183	0.0527854	0.0346235	0.00260899	0.018135	0.0149104	0.00328345	0.00278787	0.00305239	0.00368176	0.00240296	0.0023223	0.0599696	0.00638485	0.0138791	0.00932394	0.0184701	0.00868765	0.0015262	0.00482317	0.00632535	0.00444676	0.00630117	0.0284681	0.00568462	0.0151728	0.123834	0.0275224	0.012866	0.00471891	0.00219035	0.03311054	414.0211	1.161208	414.0211	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	5.252375	3.44991	2.492279	413.4648
220	-61686.98	-61629.31	-57.66177	1.009909	31.92424	0.0334054	0.0619883	0.0798723	0.0517307	0.0221081	0.00186957	0.056027	0.156828	0.0173369	0.0361246	0.0198569	0.110151	0.0150908	0.0183925	0.0477115	0.0322199	0.00232368	0.0195704	0.0142116	0.00300893	0.00249432	0.00272381	0.00320425	0.00221463	0.00201418	0.0509017	0.00575005	0.0144286	0.00866409	0.0197223	0.00854426	0.00142046	0.0040189	0.00613396	0.00388865	0.00547113	0.0266599	0.00488152	0.016797	0.114886	0.0285383	0.0136451	0.00427508	0.0021359	0.03163456	414.0211	0.9901878	414.0211	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	5.454364	3.502547	2.492279	413.4648
230	-59832.95	-59779.01	-53.93521	0.8518937	33.72973	0.0297716	0.0601134	0.0813908	0.0507713	0.020436	0.00155961	0.0526467	0.152734	0.0177833	0.0373151	0.0188894	0.105264	0.0164248	0.0165728	0.0371453	0.0313237	0.00189514	0.020364	0.011109	0.00280084	0.00235729	0.0024915	0.00277804	0.00205453	0.00184176	0.0410915	0.00517985	0.0138804	0.00808105	0.0195995	0.00774378	0.00124537	0.00362421	0.0059742	0.00320003	0.00546676	0.025199	0.00424207	0.017445	0.105712	0.031913	0.0137023	0.00409921	0.00194562	0.02525646	413.5409	1.173855	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	5.204709	3.502547	2.474787	413.4648
240	-57859.03	-57804.22	-54.80995	0.716536	21.50402	0.0300436	0.0569187	0.074719	0.053814	0.0217671	0.00132731	0.0533411	0.149976	0.0172742	0.0378468	0.0160685	0.110489	0.0174242	0.0185377	0.0319965	0.0298576	0.00159482	0.0223188	0.0109341	0.00271279	0.00184257	0.00213826	0.00251989	0.00194006	0.00155747	0.0424704	0.0045864	0.0131004	0.00720351	0.0183999	0.00705679	0.00115038	0.00351344	0.00619036	0.00299436	0.00475913	0.0260216	0.00388875	0.0196401	0.110044	0.0373759	0.0142072	0.00343475	0.00177111	0.03332102	413.5409	1.395603	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	5.108051	3.463768	2.464734	413.4648
250	-55882.46	-55829.99	-52.46853	0.8017726	32.78163	0.0294581	0.0530797	0.0783101	0.0573161	0.0234032	0.00128223	0.0573987	0.146407	0.0171145	0.0312372	0.0144403	0.0985791	0.0181355	0.0193864	0.0344017	0.0265729	0.00154984	0.0247953	0.0103847	0.00258489	0.0015718	0.0017338	0.00220582	0.00159362	0.00152304	0.0365221	0.00365118	0.0122576	0.00643843	0.0164914	0.00585824	0.000981066	0.00308487	0.00560598	0.00265967	0.00414854	0.0297113	0.00353976	0.0205861	0.119219	0.0355299	0.0142317	0.00332361	0.00162006	0.02445799	413.5409	1.247237	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	4.930991	3.463768	2.464734	413.4648
260	-54266.02	-54214.09	-51.92917	0.7658256	27.37692	0.0297449	0.0558439	0.0835932	0.0570909	0.0229116	0.0011146	0.061937	0.137918	0.0159798	0.034943	0.0118476	0.0908483	0.0214141	0.0188905	0.0313753	0.0260583	0.00133032	0.0246503	0.0109983	0.00234689	0.00137757	0.00149606	0.00200996	0.0014532	0.00149808	0.0352365	0.00332008	0.0117295	0.00609258	0.0151715	0.00509863	0.000914325	0.00269457	0.00520223	0.00241084	0.00347475	0.0298385	0.00343576	0.0201367	0.126432	0.033356	0.0151573	0.00282004	0.00131912	0.0279734	413.5409	1.30578	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	4.930991	3.377372	2.464734	413.4648
270	-52807.29	-52756.69	-50.60044	0.6049655	23.73717	0.0300301	0.0532224	0.0798134	0.0564063	0.0229166	0.000948023	0.0572109	0.141143	0.0156958	0.0298477	0.0108904	0.0809956	0.021886	0.0183604	0.0329089	0.0249755	0.00118715	0.022454	0.0121197	0.00225897	0.00125988	0.00139811	0.0018074	0.00140148	0.00117559	0.0392835	0.00286793	0.0119423	0.0056256	0.0159811	0.00452297	0.000740481	0.00255743	0.00447723	0.00219041	0.00283778	0.0343517	0.00309772	0.0186346	0.131382	0.034024	0.0157628	0.00254105	0.00111006	0.025486	413.5409	1.652987	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	4.822896	3.377372	2.464734	413.4648
280	-51707.1	-51655.02	-52.07438	0.6207016	31.68494	0.0301459	0.0590994	0.079972	0.0531012	0.0250814	0.000903937	0.0628737	0.15952	0.0174561	0.0326035	0.0101263	0.0837146	0.0249262	0.0188526	0.0334147	0.0243962	0.00118663	0.0250008	0.0112886	0.0021319	0.00112588	0.00127074	0.00153189	0.00137191	0.00101385	0.0411929	0.00277407	0.0107146	0.00521963	0.0154191	0.00402195	0.000649003	0.00207482	0.00461713	0.00192834	0.00265669	0.0311312	0.00270863	0.020526	0.135664	0.035542	0.0174375	0.00241149	0.000933576	0.01958979	413.5409	1.61108	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	4.907515	3.412446	2.544375	413.4648
290	-50430.42	-50379.01	-51.41657	0.460557	19.61129	0.029421	0.0535063	0.0847564	0.0518231	0.0259026	0.0007856	0.0669093	0.153977	0.0184351	0.0316586	0.00944131	0.0704194	0.0257104	0.0186843	0.0298631	0.0235983	0.00105986	0.0289667	0.0107658	0.00195809	0.00100891	0.00125294	0.00142045	0.00109197	0.00103305	0.0459252	0.0023287	0.00985654	0.00455454	0.0125264	0.00369638	0.000572071	0.00168574	0.00442473	0.00183273	0.00223691	0.0277665	0.00245727	0.020562	0.148837	0.0362175	0.0171873	0.00219323	0.000764669	0.02348428	413.5409	2.171284	413.5409	208.5142	206.825	176.1917	165.1547	161.0679	84.27567	151.6401	151.419	4.907515	3.413963	2.545506	413.4648
